"Word"	"Freq"
"9384"	"the"	8014
"343"	"and"	4926
"6362"	"of"	4007
"9569"	"to"	3463
"5"	"a"	2915
"4818"	"in"	2581
"4545"	"his"	2005
"5102"	"it"	2001
"4682"	"i"	1917
"9380"	"that"	1889
"4394"	"he"	1831
"10283"	"was"	1763
"10694"	"you"	1387
"10527"	"with"	1306
"4269"	"had"	1297
"508"	"as"	1138
"4468"	"her"	1038
"572"	"at"	1032
"4522"	"him"	965
"3715"	"for"	947
"6401"	"on"	921
"6249"	"not"	839
"5091"	"is"	818
"747"	"be"	761
"4383"	"have"	737
"7969"	"said"	660
"10376"	"were"	658
"6098"	"my"	653
"1201"	"but"	649
"6053"	"mr"	620
"8564"	"so"	581
"9408"	"there"	565
"9428"	"they"	561
"1215"	"by"	556
"279"	"all"	553
"9459"	"this"	544
"6218"	"no"	540
"5780"	"me"	522
"3867"	"from"	514
"8274"	"she"	458
"4700"	"if"	451
"6473"	"out"	445
"6405"	"one"	437
"794"	"been"	435
"10396"	"when"	433
"10410"	"which"	402
"9393"	"them"	393
"10438"	"who"	372
"10387"	"what"	370
"6435"	"or"	358
"334"	"an"	345
"10607"	"would"	341
"5592"	"lorry"	336
"10704"	"your"	336
"5055"	"into"	319
"9391"	"their"	318
"464"	"are"	313
"10046"	"up"	306
"2735"	"do"	298
"10053"	"upon"	289
"10478"	"will"	288
"1996"	"could"	281
"2328"	"defarge"	280
"5697"	"man"	279
"5520"	"little"	265
"6003"	"more"	260
"9547"	"time"	260
"6280"	"now"	256
"5114"	"its"	255
"9402"	"then"	253
"4304"	"hand"	247
"2806"	"down"	232
"5934"	"miss"	232
"804"	"before"	230
"5274"	"know"	229
"8615"	"some"	228
"220"	"again"	227
"313"	"am"	225
"396"	"any"	224
"4528"	"himself"	219
"10147"	"very"	216
"9372"	"than"	214
"4100"	"good"	209
"9827"	"two"	209
"5483"	"like"	198
"8131"	"see"	195
"5576"	"looked"	193
"2740"	"doctor"	192
"6182"	"never"	192
"5568"	"long"	191
"5661"	"madame"	191
"3352"	"face"	187
"5663"	"made"	185
"4473"	"here"	184
"6392"	"old"	184
