"Word"	"Freq"
"10723"	"the"	8121
"400"	"and"	6953
"5348"	"i"	6417
"10906"	"to"	5051
"7283"	"of"	4421
"4"	"a"	4007
"5471"	"in"	2989
"10713"	"that"	2958
"11675"	"was"	2822
"5816"	"it"	2632
"5017"	"he"	2196
"12185"	"you"	2167
"4851"	"had"	2089
"6993"	"my"	2064
"6606"	"me"	1978
"5175"	"his"	1855
"11987"	"with"	1750
"605"	"as"	1746
"672"	"at"	1633
"7323"	"on"	1403
"4255"	"for"	1352
"9109"	"said"	1346
"5094"	"her"	1165
"5149"	"him"	1134
"4997"	"have"	1080
"7164"	"not"	1049
"1449"	"but"	1040
"878"	"be"	1029
"9452"	"she"	881
"11836"	"when"	869
"11809"	"were"	792
"1465"	"by"	791
"9825"	"so"	785
"7423"	"out"	773
"5362"	"if"	767
"11740"	"we"	755
"10786"	"this"	744
"320"	"all"	729
"6938"	"mr"	711
"5895"	"joe"	684
"10746"	"there"	683
"5808"	"is"	651
"7122"	"no"	632
"11822"	"what"	624
"929"	"been"	609
"12072"	"would"	595
"11411"	"up"	593
"4419"	"from"	573
"7373"	"or"	550
"11850"	"which"	514
"5749"	"into"	494
"7329"	"one"	487
"2370"	"could"	479
"3115"	"do"	450
"7189"	"now"	448
"391"	"an"	440
"10734"	"then"	435
"11527"	"very"	395
"6880"	"more"	394
"12196"	"your"	386
"6796"	"miss"	382
"6025"	"know"	375
"1981"	"come"	372
"6308"	"little"	370
"10729"	"them"	366
"11420"	"upon"	363
"10758"	"they"	361
"10877"	"time"	356
"244"	"again"	353
"9526"	"should"	350
"3191"	"down"	349
"6375"	"looked"	323
"9872"	"some"	323
"31"	"about"	319
"11880"	"who"	319
"7825"	"pip"	317
"7082"	"never"	313
"6255"	"like"	309
"6942"	"much"	309
"936"	"before"	306
"2872"	"did"	302
"7312"	"old"	301
"6515"	"man"	299
"6467"	"made"	298
"9180"	"say"	298
"11789"	"well"	295
"10702"	"than"	293
"238"	"after"	291
"5098"	"herbert"	289
"11807"	"went"	289
"5276"	"how"	285
"3156"	"dont"	282
"550"	"are"	273
"5830"	"its"	271
"9290"	"see"	271
"456"	"any"	268
"11732"	"way"	267
"5103"	"here"	263
"11440"	"us"	263
"4907"	"hand"	262
"960"	"being"	261
"4628"	"go"	260
"7419"	"our"	258
"11803"	"wemmick"	254
"7452"	"over"	253
"9174"	"saw"	250
"11196"	"two"	244
"8368"	"put"	242
"363"	"am"	241
"10961"	"took"	241
"5005"	"havisham"	240
"771"	"back"	238
"4665"	"got"	238
"4640"	"going"	237
"10776"	"think"	237
"1501"	"came"	235
"10797"	"thought"	235
"6996"	"myself"	232
"3635"	"estella"	231
"4647"	"good"	228
"6722"	"might"	226
"1038"	"biddy"	223
"5018"	"head"	221
"1259"	"boy"	209
"2618"	"dear"	209
"3150"	"done"	209
"5856"	"jaggers"	208
"11853"	"while"	198
"6978"	"must"	197
"11839"	"where"	196
"8412"	"quite"	195
"4108"	"first"	194
"7408"	"other"	193
"3663"	"ever"	191
"6374"	"look"	191
"2602"	"day"	190
"7491"	"own"	190
"10957"	"too"	190
"10380"	"such"	183
"6110"	"last"	182
"7102"	"night"	182
"7284"	"off"	182
"4924"	"hands"	180
"3849"	"eyes"	177
"5158"	"himself"	177
"6379"	"looking"	177
"9025"	"round"	177
"7170"	"nothing"	175
"10728"	"their"	175
"4725"	"great"	174
"10580"	"take"	172
"11923"	"will"	172
"6006"	"knew"	171
"7341"	"only"	170
"362"	"always"	169
"6364"	"long"	169
"12171"	"yes"	164
"6601"	"may"	162
"3856"	"face"	161
"6940"	"mrs"	161
"755"	"away"	158
"6500"	"make"	158
"8997"	"room"	158
"430"	"another"	157
"7931"	"pocket"	156
"4556"	"get"	154
"6743"	"mind"	154
"11997"	"without"	154
"10179"	"still"	153
"7325"	"once"	152
"12192"	"young"	152
"9645"	"sister"	151
"10644"	"tell"	151
"5260"	"house"	149
"5004"	"having"	148
"4351"	"found"	147
"9302"	"seen"	146
"11255"	"under"	146
"620"	"asked"	145
"6179"	"left"	142
"9299"	"seemed"	141
"4095"	"fire"	140
"10930"	"told"	140
"8322"	"pumblechook"	139
"10757"	"these"	139
"8878"	"returned"	138
"5205"	"home"	136
"3159"	"door"	135
"4014"	"felt"	134
"1231"	"both"	133
"7856"	"place"	132
"1025"	"better"	130
"3654"	"even"	130
"10796"	"though"	130
"6205"	"let"	129
"9878"	"something"	128
"1507"	"can"	127
"9638"	"sir"	126
"10794"	"those"	124
"10828"	"through"	124
"12174"	"yet"	122
"6231"	"life"	121
"8927"	"right"	121
"9133"	"same"	121
"10213"	"stood"	121
"11895"	"why"	121
"6897"	"most"	120
"11390"	"until"	120
"7005"	"name"	118
"9151"	"sat"	117
"4975"	"has"	114
"1028"	"between"	112
"4644"	"gone"	112
"5033"	"heard"	112
"6839"	"moment"	111
"6239"	"light"	110
"10564"	"table"	109
"4536"	"gentleman"	108
"4512"	"gave"	107
"5369"	"ill"	106
"940"	"began"	105
"11849"	"whether"	103
"9419"	"shall"	102
"9893"	"soon"	102
"1376"	"brought"	101
"294"	"air"	99
"1994"	"coming"	99
"10581"	"taken"	99
"2399"	"course"	98
"8466"	"rather"	97
"9577"	"side"	97
"12027"	"wopsle"	97
"909"	"because"	95
"3664"	"every"	95
"10774"	"thing"	93
"10881"	"times"	92
"11646"	"want"	92
"3910"	"far"	91
"6534"	"manner"	91
"6550"	"many"	91
"464"	"anything"	90
"11000"	"towards"	88
"4584"	"give"	87
"7305"	"often"	87
"9617"	"since"	87
"11159"	"turned"	87
"11889"	"whom"	87
"5037"	"heart"	85
"5226"	"hope"	85
"5942"	"just"	85
"7571"	"part"	85
