"Word"	"Freq"
"7402"	"the"	6194
"7507"	"to"	5424
"343"	"and"	5390
"5037"	"of"	4775
"3542"	"her"	3120
"9"	"a"	3081
"8058"	"was"	2656
"3806"	"in"	2496
"3693"	"i"	2359
"6635"	"she"	2263
"4111"	"it"	2254
"692"	"be"	1902
"4940"	"not"	1823
"496"	"as"	1698
"7399"	"that"	1671
"3386"	"had"	1645
"8363"	"you"	1623
"3487"	"he"	1548
"3000"	"for"	1530
"3593"	"his"	1352
"8218"	"with"	1334
"996"	"but"	1260
"3479"	"have"	1202
"551"	"at"	1048
"4106"	"is"	969
"265"	"all"	868
"1642"	"could"	859
"6831"	"so"	855
"2787"	"fanny"	805
"8282"	"would"	773
"717"	"been"	755
"7957"	"very"	751
"5066"	"on"	735
"3580"	"him"	712
"1005"	"by"	693
"4910"	"no"	677
"8146"	"which"	673
"8125"	"were"	665
"3115"	"from"	624
"7415"	"there"	580
"4815"	"my"	579
"5098"	"or"	579
"2212"	"do"	546
"8132"	"what"	546
"4762"	"more"	522
"7423"	"they"	518
"7440"	"this"	509
"4811"	"must"	505
"8186"	"will"	498
"1688"	"crawford"	492
"340"	"an"	487
"4798"	"mr"	482
"7171"	"such"	461
"4800"	"much"	456
"4709"	"miss"	433
"7390"	"than"	426
"4597"	"me"	425
"8137"	"when"	424
"8371"	"your"	413
"4799"	"mrs"	408
"6379"	"said"	408
"7406"	"their"	401
"7408"	"them"	393
"388"	"any"	391
"3701"	"if"	391
"5072"	"only"	373
"6750"	"sir"	372
"5068"	"one"	371
"458"	"are"	367
"749"	"being"	364
"2370"	"edmund"	362
"6680"	"should"	358
"7429"	"think"	351
"5166"	"own"	347
"4958"	"now"	341
"8076"	"we"	339
"311"	"am"	335
"4672"	"might"	324
"8161"	"who"	323
"4421"	"little"	309
"7492"	"time"	307
"3555"	"herself"	302
"4945"	"nothing"	299
"8106"	"well"	298
"2006"	"did"	297
"7442"	"thomas"	288
"3656"	"how"	286
"3249"	"good"	280
"6872"	"some"	280
"4887"	"never"	279
"8228"	"without"	270
"7536"	"too"	265
"722"	"before"	260
"4233"	"know"	251
"1032"	"can"	244
"2923"	"first"	241
"779"	"bertram"	240
"208"	"again"	235
"4773"	"most"	235
"5125"	"out"	231
"6885"	"soon"	221
"6505"	"see"	219
"5117"	"other"	217
"7448"	"though"	216
"7895"	"up"	216
"2606"	"every"	215
"3466"	"has"	209
"6424"	"say"	209
"7667"	"two"	208
"203"	"after"	204
"4063"	"into"	200
"3312"	"great"	199
"5834"	"quite"	199
"24"	"about"	197
"4515"	"made"	196
"7449"	"thought"	196
"4596"	"may"	195
"6621"	"shall"	188
"4391"	"like"	186
"4931"	"norris"	185
"4553"	"mansfield"	183
"6352"	"rushworth"	183
"4251"	"lady"	180
"4533"	"make"	178
"3648"	"house"	175
"2601"	"ever"	174
"3583"	"himself"	168
"6752"	"sister"	167
"3480"	"having"	163
"2864"	"felt"	162
"1796"	"dear"	160
"7412"	"then"	159
"631"	"away"	156
"392"	"anything"	155
"2592"	"even"	155
"4119"	"its"	155
"1785"	"day"	154
"8367"	"young"	154
"3235"	"go"	153
"4444"	"long"	152
"4682"	"mind"	151
"797"	"better"	150
"2227"	"done"	150
"2856"	"feelings"	149
"2610"	"everything"	146
"6875"	"something"	146
"2498"	"enough"	145
"8073"	"way"	144
"3544"	"here"	142
"3608"	"home"	142
"4558"	"many"	139
"7897"	"upon"	139
"3623"	"hope"	138
"4282"	"last"	137
"4452"	"look"	135
"5135"	"over"	135
"5224"	"part"	135
"309"	"always"	134
"1039"	"cannot"	134
"3288"	"grant"	133
"3207"	"give"	132
"4537"	"man"	129
"7057"	"still"	129
"7245"	"sure"	129
"2853"	"feel"	128
"4177"	"just"	128
"1690"	"crawfords"	127
"2779"	"family"	126
"8213"	"wish"	126
"7306"	"take"	125
"8187"	"william"	124
"290"	"almost"	122
"4477"	"love"	122
"6315"	"room"	122
"4166"	"julia"	121
"602"	"aunt"	120
"3540"	"henry"	119
"3440"	"happy"	117
"4743"	"moment"	117
"3499"	"heart"	116
"2251"	"down"	113
"3857"	"indeed"	113
"3067"	"found"	112
"3391"	"half"	111
"2792"	"fannys"	109
"8355"	"yet"	109
"3243"	"going"	108
"4565"	"maria"	108
"6392"	"same"	108
"8352"	"yes"	108
"1310"	"come"	107
"6923"	"speak"	107
"7148"	"subject"	107
"2877"	"few"	106
"3657"	"however"	106
"5618"	"price"	106
"6510"	"seemed"	105
"7489"	"till"	104
"4346"	"less"	103
"7910"	"us"	103
"786"	"best"	102
"5386"	"place"	102
"8149"	"while"	102
"1029"	"came"	101
"7447"	"those"	101
"8041"	"want"	101
"5318"	"perhaps"	99
"5433"	"pleasure"	99
"3102"	"friend"	98
"7513"	"together"	98
"7708"	"uncle"	97
"6281"	"right"	96
"8140"	"where"	96
"5120"	"ought"	95
"5466"	"poor"	95
"370"	"another"	94
"3247"	"gone"	94
"5875"	"rather"	94
"728"	"began"	93
"966"	"brother"	93
"2900"	"find"	93
"6423"	"saw"	92
"7465"	"three"	91
"799"	"between"	89
"2818"	"father"	89
"4547"	"manner"	89
"4777"	"mother"	89
"6515"	"seen"	89
"3494"	"hear"	87
"5038"	"off"	87
"5899"	"really"	87
"3439"	"happiness"	86
"4329"	"least"	85
"3495"	"heard"	84
"1115"	"certainly"	83
"1314"	"comfort"	83
"3197"	"get"	83
"1787"	"days"	82
"2796"	"far"	82
"4453"	"looked"	82
"5577"	"present"	82
"6949"	"spirits"	82
"1676"	"cousin"	81
"8166"	"whom"	81
"648"	"back"	80
"2329"	"each"	80
"5084"	"opinion"	80
"7238"	"suppose"	80
"2453"	"end"	79
"4338"	"left"	79
"5118"	"others"	79
"7526"	"tom"	79
"804"	"beyond"	78
"6236"	"return"	77
"6900"	"sort"	77
"7350"	"tell"	77
"754"	"believe"	76
"1792"	"deal"	76
"2219"	"does"	76
"5057"	"oh"	76
"7724"	"under"	76
"8240"	"woman"	76
"971"	"brought"	75
"3208"	"given"	75
"4356"	"letter"	75
"5121"	"our"	75
"5298"	"people"	75
"211"	"against"	74
"2593"	"evening"	74
"4223"	"knew"	74
"2417"	"else"	73
"2854"	"feeling"	73
"6198"	"rest"	73
"3172"	"general"	72
"6756"	"sisters"	72
"1708"	"cried"	71
"3645"	"hour"	71
"6506"	"seeing"	71
"4456"	"looking"	70
"4992"	"obliged"	70
"5414"	"play"	70
"7021"	"state"	70
"7473"	"through"	70
"2745"	"eyes"	69
"4446"	"longer"	69
"5054"	"often"	69
"6704"	"side"	69
"8268"	"world"	69
"19"	"able"	68
"3453"	"hardly"	68
"4355"	"let"	68
"4576"	"mary"	68
"4817"	"myself"	68
"5213"	"park"	68
"8124"	"went"	68
"896"	"both"	67
"3213"	"glad"	67
"4764"	"morning"	67
"5067"	"once"	67
"6735"	"since"	67
"7422"	"these"	67
"780"	"bertrams"	66
"3695"	"idea"	66
"4201"	"kind"	66
"2607"	"everybody"	65
"5248"	"party"	65
"5792"	"put"	65
"7262"	"susan"	65
"3416"	"hand"	64
"3530"	"help"	63
"4239"	"known"	63
"4897"	"next"	63
"4929"	"nor"	63
"1143"	"character"	62
"1665"	"course"	62
"2222"	"doing"	62
"7521"	"told"	62
"371"	"answer"	61
"6958"	"spoke"	61
"7426"	"thing"	61
"8163"	"whole"	61
"8227"	"within"	61
"1677"	"cousins"	60
"4207"	"kindness"	60
"4689"	"minutes"	60
"5895"	"ready"	60
"7307"	"taken"	60
"8003"	"voice"	60
"992"	"business"	59
"3106"	"friends"	59
"4379"	"life"	59
"7556"	"towards"	59
"2337"	"early"	58
"2390"	"either"	58
"3168"	"gave"	58
"3742"	"immediately"	58
"4442"	"london"	58
"5058"	"old"	58
"5487"	"possible"	58
"7313"	"talk"	58
"8342"	"yates"	58
"576"	"attention"	57
"2258"	"dr"	57
"2517"	"entirely"	57
"3781"	"impossible"	57
"7428"	"things"	57
"8349"	"years"	57
"8373"	"yourself"	57
"2016"	"different"	56
"2903"	"fine"	56
"3624"	"hoped"	56
"4330"	"leave"	56
"8259"	"word"	56
"4980"	"object"	55
"8042"	"wanted"	55
"8214"	"wished"	55
"5254"	"passed"	54
"5604"	"pretty"	54
"6904"	"sotherton"	54
"3204"	"girl"	53
"6671"	"short"	53
"7315"	"talked"	53
"8029"	"walk"	53
"187"	"affection"	52
"229"	"agreeable"	52
"4548"	"manners"	52
"4606"	"means"	52
"4915"	"nobody"	52
"6591"	"set"	52
"7537"	"took"	52
"8030"	"walked"	52
"3212"	"giving"	51
"4032"	"interest"	51
"8346"	"year"	51
"74"	"account"	50
"706"	"because"	50
"1322"	"coming"	50
"6880"	"son"	50
"652"	"bad"	49
"1142"	"chapter"	49
"1985"	"determined"	49
"2806"	"farther"	49
"7430"	"thinking"	49
"8260"	"words"	49
"3061"	"forward"	48
"7309"	"taking"	48
"7418"	"therefore"	48
"7729"	"understand"	48
"7912"	"used"	48
"8262"	"work"	48
"1061"	"care"	47
"2373"	"edmunds"	47
"2615"	"evil"	47
"3488"	"head"	47
"4837"	"nature"	47
"5220"	"parsonage"	47
"5312"	"perfectly"	47
"5448"	"point"	47
"6108"	"replied"	47
"7123"	"strong"	47
"130"	"added"	46
"296"	"already"	46
"327"	"among"	46
"2014"	"difference"	46
"5506"	"power"	46
"5905"	"reason"	46
"5919"	"received"	46
"7646"	"trying"	46
"8168"	"whose"	46
"2242"	"doubt"	45
"3264"	"got"	45
"4535"	"making"	45
"4889"	"new"	45
"5476"	"portsmouth"	45
"6595"	"settled"	45
"7411"	"themselves"	45
"8095"	"week"	45
