"Word"	"Freq"
"6050"	"the"	4321
"6131"	"to"	4127
"4189"	"of"	3598
"349"	"and"	3528
"2938"	"her"	2215
"3059"	"i"	2051
"65"	"a"	1939
"3162"	"in"	1862
"6561"	"was"	1842
"5486"	"she"	1703
"6049"	"that"	1567
"3424"	"it"	1520
"4108"	"not"	1424
"6783"	"you"	1348
"2898"	"he"	1331
"2985"	"his"	1267
"632"	"be"	1238
"483"	"as"	1180
"2816"	"had"	1175
"6696"	"with"	1051
"2504"	"for"	1045
"869"	"but"	972
"3422"	"is"	858
"2894"	"have"	841
"527"	"at"	785
"3989"	"mr"	783
"2973"	"him"	761
"4005"	"my"	717
"4219"	"on"	715
"875"	"by"	634
"279"	"all"	619
"6073"	"they"	601
"2026"	"elizabeth"	594
"5621"	"so"	584
"6621"	"were"	566
"6635"	"which"	535
"1409"	"could"	524
"651"	"been"	515
"2604"	"from"	490
"6477"	"very"	485
"4084"	"no"	483
"6625"	"what"	473
"6744"	"would"	469
"6795"	"your"	455
"6085"	"this"	446
"6053"	"their"	442
"3808"	"me"	439
"6055"	"them"	434
"6667"	"will"	411
"5274"	"said"	401
"5871"	"such"	387
"1495"	"darcy"	371
"6629"	"when"	371
"347"	"an"	353
"1881"	"do"	347
"6063"	"there"	345
"3064"	"if"	344
"3990"	"mrs"	343
"447"	"are"	339
"3991"	"much"	327
"3958"	"more"	325
"318"	"am"	316
"4002"	"must"	308
"4242"	"or"	294
"700"	"bennet"	293
"3918"	"miss"	283
"6647"	"who"	283
"6041"	"than"	282
"1705"	"did"	270
"390"	"any"	269
"4221"	"one"	265
"3435"	"jane"	259
"726"	"bingley"	257
"6583"	"we"	251
"5516"	"should"	248
"3514"	"know"	238
"654"	"before"	227
"3028"	"how"	227
"2950"	"herself"	224
"2874"	"has"	220
"4062"	"never"	220
"6093"	"though"	220
"5659"	"soon"	216
"4224"	"only"	215
"6610"	"well"	212
"895"	"can"	211
"6077"	"think"	211
"4126"	"now"	209
"4258"	"other"	208
"5644"	"some"	208
"3872"	"might"	200
"6122"	"time"	200
"242"	"after"	199
"2183"	"every"	198
"3806"	"may"	192
"3653"	"little"	189
"3971"	"most"	187
"3526"	"lady"	183
"4308"	"own"	183
"2711"	"good"	182
"5571"	"sister"	178
"246"	"again"	177
"4112"	"nothing"	176
"676"	"being"	175
"6058"	"then"	172
"6703"	"without"	170
"3746"	"make"	167
"5474"	"shall"	162
"6655"	"wickham"	161
"5310"	"say"	158
"1520"	"dear"	157
"1115"	"collins"	156
"2343"	"family"	152
"5374"	"see"	149
"2454"	"first"	145
"3377"	"into"	142
"3753"	"man"	142
"2759"	"great"	141
"6147"	"too"	141
"6249"	"two"	135
"3029"	"however"	134
"4269"	"out"	134
"3729"	"lydia"	131
"2182"	"ever"	130
"6791"	"young"	130
"1512"	"day"	129
"3738"	"made"	126
"2977"	"himself"	125
"2681"	"give"	123
"6428"	"us"	123
"3000"	"hope"	121
"79"	"about"	120
"6417"	"up"	120
"3551"	"last"	119
"317"	"always"	118
"3775"	"many"	118
"592"	"away"	117
"2362"	"father"	116
"3606"	"letter"	115
"3677"	"long"	114
"5574"	"sisters"	114
"5246"	"room"	112
"898"	"cannot"	111
"6094"	"thought"	111
"944"	"catherine"	110
"3973"	"mother"	108
"6578"	"way"	107
"3019"	"house"	105
"2105"	"enough"	104
"3430"	"its"	104
"2590"	"friend"	103
"5085"	"replied"	103
"5308"	"saw"	102
"5923"	"sure"	102
"2701"	"go"	101
"2405"	"felt"	100
"6690"	"wish"	97
"2895"	"having"	96
"3762"	"manner"	96
"4864"	"quite"	96
"3665"	"lizzy"	94
"4006"	"myself"	93
"715"	"better"	92
"1124"	"come"	92
"3203"	"indeed"	92
"4212"	"oh"	92
"6121"	"till"	92
"1452"	"cried"	91
"3704"	"love"	91
"4539"	"pleasure"	91
"891"	"came"	90
"1888"	"done"	89
"4210"	"often"	89
"4276"	"over"	89
"3678"	"longbourn"	88
"4914"	"really"	88
"6632"	"where"	88
"678"	"believe"	87
"2394"	"feelings"	86
"2910"	"heard"	86
"1882"	"does"	84
"2638"	"gardiner"	84
"5846"	"subject"	84
"6650"	"whom"	84
"2176"	"even"	82
"2857"	"happy"	81
"5976"	"take"	80
"395"	"anything"	79
"6648"	"whole"	79
"569"	"aunt"	78
"5570"	"sir"	78
"1508"	"daughter"	77
"3599"	"less"	77
"3634"	"like"	77
"3961"	"morning"	77
"4437"	"perhaps"	76
"6420"	"upon"	76
"3605"	"let"	75
"5382"	"seen"	75
"6637"	"while"	75
"3525"	"ladies"	74
"4266"	"our"	74
"1909"	"down"	73
"3685"	"looked"	73
"4059"	"netherfield"	73
"6065"	"therefore"	73
"6777"	"yet"	73
"2177"	"evening"	72
"2856"	"happiness"	72
"3479"	"just"	72
"5777"	"still"	72
"170"	"added"	71
"785"	"both"	71
"2414"	"few"	71
"2909"	"hear"	71
"4101"	"nor"	71
"4502"	"place"	71
"6008"	"tell"	71
"969"	"certainly"	70
"4073"	"next"	70
"5648"	"something"	70
"3509"	"kitty"	69
"5282"	"same"	69
"6072"	"these"	69
"550"	"attention"	68
"2941"	"here"	68
"4232"	"opinion"	68
"4647"	"present"	68
"6138"	"told"	68
"1000"	"charlotte"	67
"6162"	"towards"	67
"2563"	"found"	66
"3784"	"marriage"	66
"5379"	"seemed"	66
"5685"	"speak"	66
"6619"	"went"	66
"6735"	"world"	66
"1118"	"colonel"	65
"2992"	"home"	65
"3584"	"least"	65
"3591"	"left"	65
"3718"	"lucas"	65
"375"	"answer"	64
"3945"	"moment"	64
"1963"	"each"	63
"6134"	"together"	63
"6163"	"town"	63
"6766"	"yes"	63
"716"	"between"	62
"4190"	"off"	62
"849"	"brother"	61
"988"	"chapter"	61
"989"	"character"	61
"2595"	"friends"	61
"2709"	"gone"	61
"3496"	"kind"	61
"3785"	"married"	61
"4381"	"passed"	61
"4930"	"received"	61
"645"	"because"	60
"1133"	"coming"	60
"1366"	"conversation"	60
"3102"	"immediately"	60
"3585"	"leave"	60
"4360"	"part"	60
"5375"	"seeing"	60
"299"	"almost"	59
"658"	"began"	59
"2010"	"either"	59
"5557"	"since"	59
"6092"	"those"	59
"6281"	"uncle"	59
"6651"	"whose"	59
"225"	"affection"	58
"374"	"another"	58
"2347"	"far"	58
"2435"	"find"	58
