"Word"	"Freq"
"8800"	"to"	5139
"8654"	"the"	5120
"413"	"and"	4536
"6061"	"of"	4264
"9"	"a"	3059
"4354"	"i"	2905
"4070"	"her"	2393
"9410"	"was"	2371
"4833"	"it"	2360
"7793"	"she"	2236
"4479"	"in"	2137
"5927"	"not"	2114
"789"	"be"	1962
"9822"	"you"	1905
"8645"	"that"	1747
"4002"	"he"	1735
"3864"	"had"	1614
"583"	"as"	1429
"3986"	"have"	1316
"3427"	"for"	1297
"4819"	"is"	1226
"9642"	"with"	1204
"1108"	"but"	1201
"9296"	"very"	1179
"4217"	"his"	1128
"5745"	"mr"	1114
"637"	"at"	1018
"8037"	"so"	925
"1848"	"could"	827
"309"	"all"	826
"9744"	"would"	813
"819"	"been"	753
"2746"	"emma"	743
"4171"	"him"	731
"5777"	"my"	718
"5746"	"mrs"	681
"6112"	"on"	681
"5889"	"no"	673
"462"	"any"	653
"2476"	"do"	602
"9511"	"were"	596
"5630"	"miss"	583
"1118"	"by"	566
"5767"	"must"	566
"9597"	"will"	555
"3575"	"from"	540
"5465"	"me"	537
"9549"	"which"	536
"8689"	"they"	520
"8681"	"there"	513
"8720"	"this"	505
"9534"	"what"	493
"7518"	"said"	473
"5747"	"much"	471
"6165"	"or"	471
"8389"	"such"	462
"5690"	"more"	460
"410"	"an"	459
"4371"	"if"	459
"539"	"are"	452
"6121"	"one"	423
"8658"	"them"	422
"2959"	"every"	420
"8634"	"than"	416
"374"	"am"	409
"3938"	"harriet"	385
"8693"	"thing"	383
"8707"	"think"	381
"9517"	"weston"	377
"7844"	"should"	367
"5256"	"little"	360
"866"	"being"	358
"9850"	"your"	356
"9538"	"when"	350
"9484"	"well"	348
"5857"	"never"	344
"9449"	"we"	341
"2263"	"did"	336
"4987"	"knightley"	332
"6131"	"only"	327
"4308"	"how"	326
"5572"	"might"	325
"5016"	"know"	319
"2726"	"elton"	314
"7574"	"say"	306
"3721"	"good"	304
"8655"	"their"	303
"6263"	"own"	299
"5962"	"now"	298
"9567"	"who"	287
"1148"	"can"	278
"7001"	"quite"	271
"4887"	"jane"	264
"8778"	"time"	264
"3800"	"great"	263
"4120"	"herself"	263
"8079"	"some"	260
"9678"	"woodhouse"	260
