"Word"	"Freq"
"9847"	"the"	9595
"356"	"and"	5355
"10035"	"to"	3868
"6747"	"of"	3862
"1"	"a"	3727
"4572"	"he"	2394
"5037"	"in"	2373
"4721"	"his"	2356
"9844"	"that"	1831
"10746"	"was"	1786
"5361"	"it"	1707
"4893"	"i"	1626
"11241"	"you"	1602
"11028"	"with"	1570
"545"	"as"	1314
"8433"	"said"	1230
"4414"	"had"	1224
"3878"	"for"	1143
"6391"	"mr"	1079
"4700"	"him"	1060
"617"	"at"	990
"6783"	"on"	937
"10896"	"which"	882
"9925"	"this"	800
"4648"	"her"	782
"6625"	"not"	777
"821"	"be"	771
"1378"	"by"	769
"6779"	"oliver"	765
"4554"	"have"	758
"1366"	"but"	723
"5346"	"is"	722
"9894"	"they"	675
"4010"	"from"	631
"281"	"all"	603
"4911"	"if"	593
"6097"	"me"	588
"6585"	"no"	580
"9082"	"so"	579
"10856"	"were"	558
"8727"	"she"	551
"10932"	"who"	512
"6448"	"my"	506
"6830"	"or"	497
"9870"	"there"	497
"10876"	"when"	492
"10595"	"very"	490
"10508"	"up"	488
"10867"	"what"	481
"10510"	"upon"	479
"872"	"been"	464
"5288"	"into"	464
"8136"	"replied"	464
"6790"	"one"	453
"6774"	"old"	446
"11120"	"would"	410
"6869"	"out"	396
"9123"	"some"	394
"353"	"an"	391
"2926"	"do"	382
"1331"	"bumble"	365
"6006"	"man"	365
"9854"	"them"	363
"6335"	"more"	351
"8879"	"sikes"	346
"11257"	"your"	336
"10007"	"time"	323
"497"	"are"	322
"4150"	"gentleman"	312
"9852"	"their"	301
"10974"	"will"	297
"5412"	"jew"	295
"3553"	"fagin"	292
"5545"	"know"	292
"11249"	"young"	288
"2995"	"down"	279
"1196"	"boy"	277
"5371"	"its"	276
"2482"	"dear"	274
"5813"	"little"	274
"6649"	"now"	273
"4711"	"himself"	269
"4652"	"here"	267
"882"	"before"	266
"6392"	"mrs"	265
"2217"	"could"	262
"1855"	"come"	253
"218"	"again"	249
"9862"	"then"	245
"9837"	"than"	243
"2964"	"dont"	242
"4310"	"great"	236
