"Word"	"Freq"
"5340"	"the"	3326
"5410"	"to"	2782
"273"	"and"	2781
"3608"	"of"	2565
"38"	"a"	1591
"2744"	"in"	1382
"5791"	"was"	1335
"2563"	"her"	1202
"2452"	"had"	1187
"4783"	"she"	1142
"2671"	"i"	1117
"2947"	"it"	1036
"2514"	"he"	961
"537"	"be"	950
"3534"	"not"	934
"5337"	"that"	874
"390"	"as"	809
"2160"	"for"	706
"757"	"but"	661
"2599"	"his"	659
"5908"	"with"	653
"5984"	"you"	626
"2507"	"have"	589
"440"	"at"	533
"220"	"all"	527
"557"	"been"	496
"2590"	"him"	465
"1207"	"could"	451
"283"	"anne"	445
"5725"	"very"	433
"5354"	"they"	432
"5846"	"were"	425
"763"	"by"	415
"5862"	"which"	414
"2942"	"is"	398
"3636"	"on"	396
"4924"	"so"	358
"3517"	"no"	356
"5953"	"would"	355
"794"	"captain"	303
"2250"	"from"	295
"5342"	"their"	293
"3435"	"mrs"	291
"5351"	"there"	285
"3663"	"or"	274
"3403"	"more"	273
"5344"	"them"	269
"3434"	"mr"	255
"1716"	"elliot"	254
"5369"	"this"	250
"268"	"an"	245
"5332"	"than"	243
"3639"	"one"	230
"3447"	"must"	228
"5855"	"when"	228
"3449"	"my"	221
"571"	"being"	220
"3642"	"only"	218
"3031"	"lady"	214
"5165"	"such"	211
"1582"	"do"	210
"3436"	"much"	205
"2677"	"if"	201
"305"	"any"	200
"5851"	"what"	195
"5844"	"wentworth"	191
"5871"	"who"	190
"3282"	"me"	188
"4819"	"should"	188
"3157"	"little"	176
"4602"	"said"	173
"2354"	"good"	169
"3330"	"might"	166
"3715"	"own"	163
"1453"	"did"	162
"2570"	"herself"	158
"3549"	"now"	158
"5886"	"will"	158
"3498"	"never"	154
"5804"	"we"	154
"872"	"charles"	152
"5404"	"time"	151
"4875"	"sir"	149
"5362"	"think"	149
"361"	"are"	146
"5828"	"well"	144
"3537"	"nothing"	138
"3679"	"other"	138
"4948"	"some"	136
"184"	"again"	132
"2405"	"great"	129
"5428"	"too"	127
"3019"	"know"	126
"248"	"am"	125
"2646"	"how"	125
"3366"	"miss"	125
"5990"	"your"	124
"3235"	"man"	123
"3416"	"most"	123
"4685"	"see"	123
"5776"	"walter"	123
"4962"	"soon"	122
"3268"	"mary"	121
"4589"	"russell"	118
"5376"	"though"	117
"558"	"before"	116
"4197"	"quite"	112
"2110"	"first"	111
"3441"	"musgrove"	111
"247"	"always"	110
"5527"	"two"	110
"5916"	"without"	108
"783"	"can"	107
"531"	"bath"	101
"1856"	"every"	101
"3190"	"louisa"	100
"2498"	"has"	99
"2910"	"into"	98
"48"	"about"	97
"180"	"after"	96
"3218"	"made"	96
"3687"	"out"	95
"2028"	"father"	94
"2593"	"himself"	94
"3174"	"long"	94
"4630"	"say"	93
"4690"	"seemed"	93
"2508"	"having"	92
"5377"	"thought"	90
"2640"	"house"	89
"2647"	"however"	89
"3054"	"last"	88
"3229"	"make"	88
"5669"	"up"	88
"610"	"better"	87
"2346"	"go"	87
"3281"	"may"	87
"3253"	"many"	85
"3879"	"place"	84
"5986"	"young"	84
"2210"	"found"	83
"4609"	"same"	83
"1714"	"elizabeth"	81
"2612"	"home"	81
"2069"	"felt"	80
"3132"	"like"	80
"3694"	"over"	80
"499"	"away"	78
"1855"	"ever"	78
"2315"	"give"	78
"1996"	"family"	77
"2240"	"friend"	77
"5672"	"uppercross"	77
"5801"	"way"	77
"979"	"come"	75
"2057"	"feelings"	75
"1591"	"done"	73
"2995"	"kellynch"	73
"5083"	"still"	73
"5221"	"sure"	73
"2949"	"its"	72
"4876"	"sister"	72
"5375"	"those"	72
"1782"	"enough"	71
"1849"	"even"	71
"5670"	"upon"	71
"3609"	"off"	69
"5347"	"then"	69
"506"	"back"	68
"782"	"came"	68
"3210"	"lyme"	67
"4562"	"room"	67
"594"	"benwick"	66
"1306"	"day"	66
"2560"	"henrietta"	66
"2984"	"just"	66
"5863"	"while"	66
"291"	"another"	65
"2351"	"going"	65
"2524"	"heard"	65
"2480"	"happy"	64
"3340"	"mind"	64
"3684"	"our"	64
"4010"	"present"	64
"4953"	"something"	64
"2496"	"harville"	63
"2565"	"here"	63
"2780"	"indeed"	63
"2077"	"few"	62
"99"	"acquaintance"	61
"134"	"admiral"	61
"1609"	"down"	61
"3012"	"knew"	61
"3771"	"party"	61
"4915"	"smith"	61
"234"	"almost"	60
"2458"	"half"	60
"3390"	"moment"	60
"3442"	"musgroves"	60
"4225"	"rather"	60
"3406"	"morning"	59
"5923"	"woman"	59
"3680"	"others"	58
"4694"	"seen"	58
"5903"	"wish"	58
"5974"	"years"	58
"5980"	"yet"	58
"930"	"clay"	57
"4772"	"shall"	57
"1312"	"dear"	56
"3179"	"look"	56
"3637"	"once"	56
"3827"	"perhaps"	56
"611"	"between"	55
"3941"	"poor"	55
"1850"	"evening"	54
"3628"	"oh"	54
"5412"	"together"	54
"2622"	"hope"	53
"3683"	"ought"	52
"5353"	"these"	52
"5403"	"till"	52
"2353"	"gone"	51
"4629"	"saw"	51
"5857"	"where"	51
"286"	"annes"	50
"309"	"anything"	49
"865"	"character"	49
"3022"	"known"	49
"3125"	"life"	49
"574"	"believe"	48
"848"	"certainly"	48
"3093"	"left"	48
"5269"	"take"	48
"5681"	"us"	48
"1242"	"cried"	47
"4838"	"side"	47
"5976"	"yes"	47
"3629"	"old"	46
"4814"	"short"	46
"1246"	"croft"	45
"1310"	"deal"	45
"3469"	"near"	45
"3960"	"possible"	45
"4862"	"since"	45
"2054"	"feel"	44
"3087"	"leave"	44
"1663"	"each"	43
"1860"	"everything"	43
"2888"	"interest"	43
"3243"	"manner"	43
"3822"	"perfectly"	43
"4246"	"really"	43
"5556"	"under"	43
"602"	"best"	42
"785"	"cannot"	42
"1220"	"course"	42
"1585"	"does"	42
"3086"	"least"	42
"3180"	"looked"	42
"3508"	"next"	42
"3755"	"part"	42
"4536"	"right"	42
"5873"	"whole"	42
"1717"	"elliots"	41
"2528"	"heart"	41
"3192"	"love"	41
"3453"	"name"	41
"4976"	"sort"	41
"5014"	"spirits"	41
"5360"	"thing"	41
"680"	"both"	40
"2488"	"hardly"	40
"2673"	"idea"	40
"3775"	"passed"	40
"5882"	"wife"	40
"259"	"among"	39
"2523"	"hear"	39
"3530"	"nor"	39
"196"	"agreeable"	38
"3812"	"people"	38
"3911"	"pleasure"	38
"89"	"account"	37
"1006"	"company"	37
"1247"	"crofts"	37
"2509"	"hayter"	37
"4686"	"seeing"	37
"5345"	"themselves"	37
"5386"	"three"	37
"5747"	"visit"	37
"1700"	"either"	36
"2055"	"feeling"	36
"2243"	"friends"	36
"2303"	"get"	36
"182"	"afterwards"	35
"2515"	"head"	35
"5766"	"walk"	35
"5876"	"whom"	35
"860"	"change"	34
"899"	"children"	34
"1215"	"country"	34
"2287"	"general"	34
"4261"	"received"	34
"5392"	"through"	34
"5943"	"world"	34
"561"	"began"	33
"736"	"brought"	33
"987"	"coming"	33
"1111"	"consequence"	33
"1443"	"determined"	33
"1969"	"eyes"	33
"2317"	"given"	33
"2320"	"glad"	33
"3111"	"letter"	33
"3244"	"manners"	33
"5301"	"tell"	33
"5780"	"wanted"	33
"1748"	"end"	32
"2479"	"happiness"	32
"2639"	"hours"	32
"3417"	"mother"	32
"3563"	"object"	32
"5277"	"talked"	32
"5443"	"towards"	32
"5861"	"whether"	32
"5936"	"word"	32
"293"	"answer"	31
"2005"	"far"	31
"3307"	"men"	31
"3451"	"myself"	31
"4170"	"put"	31
"4406"	"replied"	31
"4752"	"set"	31
"5020"	"spoke"	31
"5059"	"state"	31
"5779"	"want"	31
"43"	"able"	30
"774"	"called"	30
"1177"	"conversation"	30
"2094"	"fine"	30
"2257"	"full"	30
"2497"	"harvilles"	30
"2638"	"hour"	30
"2665"	"husband"	30
"3102"	"less"	30
"3181"	"looking"	30
"3570"	"obliged"	30
"3625"	"often"	30
"4590"	"russells"	30
"5772"	"wallis"	30
"5843"	"went"	30
"781"	"camden"	29
"2204"	"fortune"	29
"2284"	"gave"	29
"2704"	"immediately"	29
"3844"	"person"	29
"3929"	"point"	29
"5125"	"strong"	29
"5276"	"talk"	29
"5558"	"understand"	29
"508"	"bad"	28
"731"	"brother"	28
"1588"	"doing"	28
"2192"	"former"	28
"2459"	"hall"	28
"4033"	"pretty"	28
"4502"	"return"	28
"5352"	"therefore"	28
"5363"	"thinking"	28
"5684"	"use"	28
"5767"	"walked"	28
"5904"	"wished"	28
"100"	"acquainted"	27
"185"	"against"	27
"464"	"attention"	27
