"Word"	"Freq"
"6654"	"to"	4085
"6553"	"the"	4084
"4566"	"of"	3566
"354"	"and"	3370
"3142"	"her"	2510
"53"	"a"	2042
"3413"	"in"	1927
"3306"	"i"	1921
"7123"	"was"	1843
"3698"	"it"	1697
"5902"	"she"	1570
"6546"	"that"	1348
"635"	"be"	1284
"4474"	"not"	1234
"2673"	"for"	1229
"478"	"as"	1212
"7389"	"you"	1150
"3088"	"he"	1080
"3207"	"his"	1015
"3005"	"had"	993
"7282"	"with"	984
"520"	"at"	831
"3081"	"have"	816
"910"	"but"	795
"3690"	"is"	745
"915"	"by"	744
"4595"	"on"	690
"288"	"all"	647
"6073"	"so"	633
"3188"	"him"	632
"2146"	"elinor"	616
"4362"	"my"	613
"7209"	"which"	589
"1465"	"could"	572
"4451"	"no"	547
"2780"	"from"	537
"4343"	"mrs"	525
"7345"	"would"	514
"6580"	"they"	507
"7038"	"very"	497
"6555"	"their"	496
"4092"	"marianne"	488
"6557"	"them"	461
"7190"	"were"	440
"667"	"been"	438
"6602"	"this"	429
"7198"	"what"	427
"4130"	"me"	422
"4301"	"more"	402
"396"	"any"	390
"5688"	"said"	387
"7399"	"your"	378
"2328"	"every"	373
"6540"	"than"	361
"6368"	"such"	353
"7248"	"will"	353
"4632"	"or"	342
"352"	"an"	341
"1957"	"do"	317
"4599"	"one"	316
"7202"	"when"	300
"3318"	"if"	289
"4345"	"much"	286
"4609"	"only"	286
"4357"	"must"	282
"4685"	"own"	269
"7225"	"who"	264
"3159"	"herself"	249
"1791"	"did"	240
"6645"	"time"	237
"5933"	"should"	236
"327"	"am"	235
"446"	"are"	232
"4494"	"now"	230
"6571"	"there"	229
"3798"	"know"	227
"1563"	"dashwood"	224
"3272"	"how"	217
"4216"	"might"	215
"6007"	"sister"	213
"6615"	"though"	213
"6101"	"some"	212
"7145"	"we"	212
"3067"	"has"	211
"2109"	"edward"	210
"4256"	"miss"	209
"7171"	"well"	209
"6588"	"think"	205
"934"	"can"	204
"239"	"after"	202
"4321"	"mother"	201
"3727"	"jennings"	198
"676"	"before"	196
"4427"	"never"	186
"6585"	"thing"	184
"4647"	"other"	183
"6673"	"too"	181
"4478"	"nothing"	180
"4342"	"mr"	178
"6124"	"soon"	178
"7253"	"willoughby"	176
"7287"	"without"	174
"4128"	"may"	173
"5801"	"see"	171
"2324"	"ever"	167
"702"	"being"	165
"1160"	"colonel"	163
"4655"	"out"	161
"2622"	"first"	160
"5729"	"say"	158
"3955"	"little"	156
"4026"	"lucy"	156
"4320"	"most"	154
"3273"	"however"	153
"6788"	"two"	150
"3265"	"house"	148
"6568"	"then"	148
"2945"	"great"	147
"3733"	"john"	147
"2896"	"good"	145
"67"	"about"	144
"245"	"again"	140
