"Word"	"Freq"
"73"	"の"	3313
"10"	"い"	2930
"52"	"た"	2539
"63"	"て"	2275
"59"	"っ"	2092
"68"	"な"	1927
"69"	"に"	1872
"21"	"か"	1695
"66"	"と"	1675
"40"	"し"	1648
"23"	"が"	1530
"1"	" "	1467
"75"	"は"	1447
"12"	"う"	1433
"117"	"る"	1301
"123"	"を"	1203
"64"	"で"	1157
"113"	"ら"	1114
"103"	"も"	1062
"125"	"ん"	1014
"119"	"れ"	961
"54"	"だ"	896
"7"	"あ"	803
"34"	"こ"	782
"28"	"く"	775
"97"	"ま"	751
"115"	"り"	739
"49"	"そ"	735
"111"	"よ"	684
"2"	"　"	603
"122"	"わ"	513
"31"	"け"	504
"1652"	"子"	498
"44"	"す"	491
"37"	"さ"	484
"25"	"き"	476
"16"	"え"	466
"60"	"つ"	430
"297"	"村"	422
"321"	"島"	386
"56"	"ち"	377
"67"	"ど"	376
"733"	"来"	325
"121"	"ろ"	303
"682"	"駒"	292
"1032"	"人"	284
"72"	"ね"	281
"19"	"お"	276
"102"	"め"	272
"106"	"や"	272
"613"	"見"	271
"42"	"じ"	261
"3"	"
"	260
"910"	"女"	255
"98"	"み"	254
"77"	"ば"	224
"87"	"へ"	221
"271"	"出"	216
"1450"	"一"	190
"104"	"ゃ"	189
"1414"	"言"	189
"1169"	"思"	181
"47"	"せ"	173
"1079"	"上"	171
"514"	"行"	163
"92"	"ほ"	143
"45"	"ず"	141
"1403"	"雪"	138
"1115"	"時"	136
"417"	"分"	132
"181"	"彼"	130
"1448"	"葉"	130
"32"	"げ"	129
"1070"	"山"	126
"1138"	"手"	122
"84"	"ぶ"	119
"110"	"ょ"	119
"759"	"立"	113
"1037"	"日"	113
"500"	"帰"	111
"80"	"び"	110
"963"	"気"	110
"79"	"ひ"	105
"1327"	"下"	104
"386"	"二"	99
"1297"	"屋"	99
"1168"	"私"	97
"646"	"今"	94
"879"	"目"	93
"83"	"ふ"	91
"1655"	"自"	91
"605"	"間"	85
"1421"	"顔"	84
"565"	"火"	83
"30"	"ぐ"	80
"36"	"ご"	79
"1056"	"三"	78
"108"	"ゆ"	74
"70"	"ぬ"	73
"973"	"前"	73
"1062"	"色"	72
"1048"	"入"	71
"1675"	"々"	71
"100"	"む"	70
"1110"	"十"	70
"248"	"車"	69
"26"	"ぎ"	68
"403"	"方"	68
"700"	"君"	68
"893"	"年"	68
"810"	"落"	66
"1348"	"向"	66
"1590"	"知"	66
"593"	"家"	65
"1099"	"声"	65
"866"	"明"	64
"1594"	"直"	64
"1293"	"聞"	63
"1365"	"心"	63
"422"	"風"	62
"1571"	"者"	61
"1446"	"夜"	60
"1575"	"真"	60
"1613"	"中"	60
"38"	"ざ"	59
"281"	"窓"	59
"1240"	"通"	59
"242"	"場"	58
"366"	"度"	58
"530"	"後"	57
"240"	"長"	56
"305"	"大"	56
"451"	"感"	56
"1355"	"笑"	56
"1534"	"芸"	55
"545"	"話"	54
"1352"	"小"	54
"43"	"ス"	53
"1098"	"生"	53
"896"	"娘"	52
"1524"	"遠"	52
"1475"	"音"	51
"146"	"白"	50
"479"	"古"	50
"1289"	"温"	50
"338"	"地"	49
"1084"	"少"	49
