"Start"	"End"	"Text"
"1"	16385	16395	"watching the progress of his letter and repeatedly calling off his"
"2"	16465	16475	"on the length of his letter  with the perfect unconcern"
"3"	16505	16515	"be to receive such a letter   He made no"
"4"	16534	16544	"   How many letters you must have occasion to"
"5"	16548	16558	"course of a year  Letters of business  too "
"6"	16758	16768	"always write such charming long letters to her  Mr "
"7"	16802	16812	"who can write a long letter with ease  cannot write"
"8"	16917	16927	" by which means my letters sometimes convey no ideas at"
"9"	18030	18040	"had much better finish his letter   Mr  Darcy"
"10"	18044	18054	" and did finish his letter  When that business was"
"11"	22009	22019	"month ago I received this letter  and about a fortnight"
"12"	22255	22265	"you will listen to his letter  you may perhaps be"
"13"	22820	22830	"as he folded up the letter   He seems to"
"14"	23073	23083	"and self importance in his letter  which promises well "
"15"	23099	23109	"said Mary   the letter does not seem defective "
"16"	23133	23143	"and Lydia  neither the letter nor its writer were in"
"17"	23189	23199	" Mr  Collins s letter had done away much of"
"18"	43423	43433	"after their return  a letter was delivered to Miss Bennet"
"19"	43491	43501	"soon  and putting the letter away  tried to join"
"20"	43560	43570	"Jane  taking out the letter  said   This"
"21"	46576	46586	"speedily receive from me a letter of thanks for this "
"22"	48106	48116	"an early answer to her letter  and was counting the"
"23"	48124	48134	"hear again  The promised letter of thanks from Mr "
"24"	49163	49173	"Chapter 24 Miss Bingley s letter arrived  and put an"
"25"	49235	49245	"to the rest of the letter  she found little "
"26"	49299	49309	"been unfolded in her former letter  She wrote also with"
"27"	51575	51585	"and promised their father another letter of thanks  On the"
"28"	54344	54354	"was  Charlotte s first letters were received with a good"
"29"	54393	54403	" though  when the letters were read  Elizabeth felt"
"30"	54533	54543	"Her impatience for this second letter was as well rewarded as"
"31"	54570	54580	"by supposing that her last letter to her friend from Longbourn"
"32"	54678	54688	" therefore  my last letter had never reached her "
"33"	54762	54772	"shook her head over this letter  It convinced her that"
"34"	54873	54883	"herself no longer  The letter which she wrote on this"
"35"	55454	55464	" etc   This letter gave Elizabeth some pain "
"36"	56258	56268	"almost promised to answer her letter  The farewell between herself"
"37"	65342	65352	"putting away her half finished letter that she might escape all"
