"Text.wordcount"	"Freq"
"の"	3826
"い"	3424
"て"	2743
"た"	2596
"し"	2309
"な"	2304
"っ"	2302
"に"	2181
"と"	1899
"は"	1797
"で"	1705
"か"	1703
"お"	1687
"ま"	1563
"も"	1493
"ら"	1485
"う"	1476
"が"	1363
"を"	1355
"さ"	1247
"ん"	1239
"る"	1105
"れ"	1072
"そ"	1017
"だ"	889
"り"	878
"く"	871
"あ"	865
"す"	814
"私"	793
"こ"	645
"き"	584
"け"	583
"よ"	580
"ど"	532
"ち"	434
"つ"	403
"事"	391
"え"	382
"わ"	353
"母"	342
"ゃ"	303
"み"	302
"や"	295
"言"	285
"め"	273
"せ"	271
"ず"	260
"思"	250
"ひ"	244
"ろ"	244
"出"	237
"じ"	231
"来"	227
"上"	227
"人"	214
"ね"	208
"気"	208
"生"	203
"行"	198
"ご"	195
"無"	189
"一"	189
"ば"	182
"ょ"	171
"ほ"	168
"下"	168
"へ"	167
"見"	156
"僕"	155
"何"	152
"直"	152
"手"	151
"子"	144
"げ"	126
"日"	122
"時"	122
"二"	121
"治"	121
"ン"	118
"顔"	117
"中"	111
"家"	109
"間"	108
"ス"	101
"び"	97
"持"	94
"方"	94
"ル"	92
"笑"	92
"自"	91
"本"	90
"チ"	89
"ざ"	87
"ぬ"	87
"死"	85
"マ"	84
"分"	81
"小"	80
"前"	79
"イ"	78
"父"	78
"三"	78
"原"	78
"知"	78
"大"	77
"立"	77
"ふ"	71
"女"	71
"十"	71
"ー"	69
"む"	68
"心"	66
"御"	65
"当"	63
"口"	63
"酒"	62
"合"	61
"べ"	60
"帰"	60
"金"	60
"屋"	60
"ト"	59
"仕"	59
"ぐ"	58
"部"	58
"飲"	58
"ロ"	56
"不"	56
"蛇"	56
"叔"	56
"先"	56
"ぎ"	55
"プ"	55
"年"	55
"声"	55
"シ"	54
"葉"	54
"者"	52
"ッ"	51
"少"	51
"物"	51
"様"	51
"恋"	50
"世"	50
"聞"	50
"ぶ"	49
"泣"	48
"山"	48
"姉"	47
"食"	46
"書"	46
"ゆ"	45
"奥"	45
"田"	45
"ウ"	43
"感"	43
"リ"	42
"話"	42
"京"	41
"寝"	41
"悪"	40
"色"	40
"身"	40
"眼"	40
"紙"	40
"地"	39
"弟"	39
"風"	39
"胸"	39
"ア"	38
"ュ"	38
"読"	38
"度"	38
"苦"	38
"夜"	38
"ク"	37
"活"	37
"火"	37
"考"	37
"所"	37
"庭"	37
"々"	37
"ド"	36
"パ"	36
"美"	36
"目"	36
"ぜ"	35
"愛"	35
"病"	35
"切"	35
"頃"	35
"後"	34
"涙"	34
"理"	34
"全"	34
"足"	34
"コ"	33
"実"	33
"遊"	33
"キ"	32
"づ"	32
"白"	32
"場"	32
"東"	32
"返"	32
"関"	32
"和"	32
"黙"	32
"学"	32
"込"	32
"座"	32
"悲"	31
"朝"	31
"供"	31
"花"	31
"画"	31
"配"	31
"熱"	31
"緒"	31
"意"	31
"強"	30
"違"	30
"消"	30
"戦"	30
"着"	30
"ラ"	29
"夫"	29
"命"	29
"外"	29
"支"	29
"ケ"	28
"逢"	28
"敷"	28
"或"	28
"木"	28
"片"	28
"洋"	28
"ぱ"	27
"長"	27
"教"	27
"取"	27
"向"	27
"薬"	27
"ギ"	26
"フ"	26
"ぼ"	26
"傍"	26
"歩"	26
"赤"	26
"道"	26
"福"	26
"可"	26
"卵"	26
"師"	26
"西"	26
"村"	25
"貴"	25
"階"	25
"空"	25
"力"	25
"毎"	25
"情"	25
"石"	25
"他"	25
"同"	25
"幸"	25
"月"	25
"荘"	25
"走"	25
"エ"	24
"タ"	24
"男"	24
"焼"	24
"申"	24
"五"	24
"夕"	24
"咲"	24
"坐"	24
"バ"	23
"半"	23
"必"	23
"降"	23
"六"	23
"落"	23
"然"	23
"相"	23
"想"	23
"用"	23
"真"	23
"争"	23
"置"	23
"作"	23
"動"	22
"好"	22
"寄"	22
"匠"	22
"品"	22
"起"	22
"軽"	22
"談"	22
"息"	22
"カ"	21
"別"	21
"豆"	21
"附"	21
"婦"	21
"高"	21
"結"	21
"明"	21
"入"	21
"若"	21
"細"	21
"引"	21
"友"	21
"縁"	21
"ダ"	20
"編"	20
"面"	20
"平"	20
"弱"	20
"水"	20
"説"	20
"夏"	20
"丈"	20
"安"	19
"打"	19
"光"	19
"名"	19
"畑"	19
"味"	19
"謂"	19
"新"	19
"音"	19
"永"	19
"雨"	19
"族"	19
"セ"	18
"哀"	18
"暗"	18
"変"	18
"茶"	18
"差"	18
"待"	18
"電"	18
"段"	18
"宮"	18
"井"	18
"筈"	18
"良"	18
"暮"	18
"燃"	18
"深"	18
"野"	18
"早"	18
"振"	18
"指"	18
"薄"	17
"表"	17
"車"	17
"得"	17
"徳"	17
"調"	17
"町"	17
"革"	17
"戸"	17
"急"	17
"経"	17
"九"	17
"挙"	17
"那"	17
"勝"	17
"首"	17
"四"	17
"堂"	17
"伊"	17
"召"	17
"ソ"	16
"ぞ"	16
"答"	16
"番"	16
"呼"	16
"護"	16
"看"	16
"老"	16
"馬"	16
"売"	16
"似"	16
"亡"	16
"忘"	16
"文"	16
"我"	16
"吸"	16
"玄"	16
"優"	16
"張"	16
"注"	16
"ナ"	15
"ヤ"	15
"残"	15
"存"	15
"嫁"	15
"絶"	15
"鹿"	15
"呂"	15
"毛"	15
"夢"	15
"失"	15
"駄"	15
"校"	15
"信"	15
"押"	15
"元"	15
"遠"	15
"楽"	15
"診"	15
"サ"	14
"テ"	14
"側"	14
"恥"	14
"床"	14
"袋"	14
"等"	14
"髪"	14
"過"	14
"会"	14
"絵"	14
"婚"	14
"今"	14
"近"	14
"狂"	14
"眠"	14
"秋"	14
"団"	14
"宿"	14
"要"	14
"終"	14
"最"	14
"Ｃ"	13
"Ｍ"	13
"ィ"	13
"ブ"	13
"ム"	13
"メ"	13
"察"	13
"川"	13
"吹"	13
"毒"	13
"寒"	13
"虹"	13
"借"	13
"連"	13
"淋"	13
"内"	13
"殺"	13
"識"	13
"誰"	13
"頭"	13
"晩"	13
"以"	13
"幽"	13
"右"	13
"願"	13
"宅"	13
"正"	13
"枝"	13
"昼"	13
"ザ"	12
"ノ"	12
"成"	12
"達"	12
"払"	12
"飛"	12
"計"	12
"叫"	12
"皆"	12
"巻"	12
"郎"	12
"麗"	12
"流"	12
"麻"	12
"妙"	12
"民"	12
"親"	12
"捨"	12
"藤"	12
"円"	12
"札"	12
"ズ"	11
"レ"	11
"草"	11
"次"	11
"浮"	11
"覚"	11
"離"	11
"裏"	11
"隣"	11
"梅"	11
"糸"	11
"娘"	11
"蒲"	11
"綺"	11
"屈"	11
"神"	11
"通"	11
"微"	11
"問"	11
"線"	11
"薪"	11
"形"	11
"椅"	11
"翌"	11
"議"	11
"語"	11
"芸"	11
"運"	11
"重"	11
"噂"	11
"デ"	10
"抱"	10
"淡"	10
"畳"	10
"冬"	10
"断"	10
"法"	10
"工"	10
"海"	10
"横"	10
"記"	10
"将"	10
"解"	10
"頸"	10
"静"	10
"礼"	10
"満"	10
"嬢"	10
"農"	10
"奇"	10
"肉"	10
"射"	10
"牲"	10
"受"	10
"術"	10
"太"	10
"眺"	10
"午"	10
"犠"	10
"嘘"	10
"質"	10
"主"	10
"住"	10
"昨"	10
"ヴ"	9
"ガ"	9
"ベ"	9
"ホ"	9
"モ"	9
"阿"	9
"抜"	9
"乗"	9
"低"	9
"底"	9
"第"	9
"渡"	9
"対"	9
"発"	9
"放"	9
"蝮"	9
"格"	9
"廻"	9
"済"	9
"肩"	9
"決"	9
"両"	9
"霊"	9
"南"	9
"勢"	9
"送"	9
"素"	9
"体"	9
"図"	9
"霧"	9
"昔"	9
"洗"	9
"興"	9
"匂"	9
"軒"	9
"巡"	9
"腰"	9
"医"	9
"駅"	9
"越"	9
"在"	9
"ァ"	8
"ジ"	8
"ニ"	8
"ぽ"	8
"報"	8
"査"	8
"窓"	8
"的"	8
"荻"	8
"額"	8
"反"	8
"非"	8
"告"	8
"根"	8
